1689352864.644789,10.0.2.1:54592,,,10,37
1689352864.802208,10.0.2.1:54594,2,rcv_space,253,169
1689352864.834388,10.0.2.1:54594,0,87,169,169
1689352864.865920,10.0.2.1:54594,0,87,84,84
1689352864.897155,10.0.2.1:54594,0,87,87,84
1689352864.928830,10.0.2.1:54594,0,87,90,84
1689352864.961138,10.0.2.1:54594,0,87,92,84
1689352864.991015,10.0.2.1:54594,0,87,95,84
1689352865.022336,10.0.2.1:54594,0,87,98,84
1689352865.054130,10.0.2.1:54594,0,87,100,84
1689352865.085430,10.0.2.1:54594,0,87,103,84
1689352865.117417,10.0.2.1:54594,0,87,105,84
1689352865.149482,10.0.2.1:54594,0,87,108,84
1689352865.181932,10.0.2.1:54594,0,87,110,84
1689352865.214651,10.0.2.1:54594,0,87,113,84
1689352865.248120,10.0.2.1:54594,0,87,115,84
1689352865.279476,10.0.2.1:54594,0,87,117,84
1689352865.310616,10.0.2.1:54594,0,87,120,84
1689352865.343553,10.0.2.1:54594,0,87,122,84
1689352865.376352,10.0.2.1:54594,0,87,124,84
1689352865.410582,10.0.2.1:54594,0,87,126,84
1689352865.443440,10.0.2.1:54594,0,87,128,84
1689352865.472921,10.0.2.1:54594,0,87,130,84
1689352865.506109,10.0.2.1:54594,0,87,132,84
1689352865.537202,10.0.2.1:54594,0,87,134,84
1689352865.568622,10.0.2.1:54594,0,87,136,84
1689352865.599576,10.0.2.1:54594,0,87,138,84
1689352865.631922,10.0.2.1:54594,0,87,140,84
1689352865.664515,10.0.2.1:54594,0,87,142,84
1689352865.694067,10.0.2.1:54594,0,87,144,84
1689352865.725144,10.0.2.1:54594,0,87,145,84
1689352865.755535,10.0.2.1:54594,0,87,147,84
1689352865.786114,10.0.2.1:54594,0,87,149,84
1689352865.817129,10.0.2.1:54594,0,87,151,84
1689352865.849386,10.0.2.1:54594,0,87,152,84
1689352865.881033,10.0.2.1:54594,0,87,154,84
1689352865.913202,10.0.2.1:54594,0,87,156,84
1689352865.943563,10.0.2.1:54594,0,87,157,84
1689352865.973036,10.0.2.1:54594,0,87,159,84
1689352866.002831,10.0.2.1:54594,0,87,161,84
1689352866.035535,10.0.2.1:54594,0,87,162,84
1689352866.066768,10.0.2.1:54594,0,87,164,84
1689352866.098097,10.0.2.1:54594,0,87,165,84
1689352866.132231,10.0.2.1:54594,0,87,167,84
1689352866.164987,10.0.2.1:54594,0,87,75,42
1689352866.195735,10.0.2.1:54594,0,87,44,42
1689352866.228278,10.0.2.1:54594,0,87,46,42
1689352866.259646,10.0.2.1:54594,0,87,49,42
1689352866.294044,10.0.2.1:54594,0,87,52,42
1689352866.325115,10.0.2.1:54594,0,87,55,42
1689352866.358835,10.0.2.1:54594,0,87,58,42
1689352866.390280,10.0.2.1:54594,0,87,61,42
